date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:21	4498/4498	---M--	200	added ('OK')	image/png	etag:%225554a343-1192%22	http://html.templines.com/shoptime-html/bath/images/partner_logo_4.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/images/partner_logo_4.png	(from http://html.templines.com/shoptime-html/bath/)
21:55:22	81827/81827	---M--	200	added ('OK')	image/jpeg	etag:%225554a43a-13fa3%22	http://html.templines.com/shoptime-html/bath/media/product/4.jpg	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/product/4.jpg	(from http://html.templines.com/shoptime-html/bath/)
21:55:22	6236/6236	---M--	200	added ('OK')	image/png	etag:%225554a343-185c%22	http://html.templines.com/shoptime-html/bath/images/partner_logo_3.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/images/partner_logo_3.png	(from http://html.templines.com/shoptime-html/bath/)
21:55:22	4530/4530	---M--	200	added ('OK')	image/png	etag:%225554a343-11b2%22	http://html.templines.com/shoptime-html/bath/images/partner_logo_5.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/images/partner_logo_5.png	(from http://html.templines.com/shoptime-html/bath/)
21:55:24	12895/12895	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225554a348-325f%22	http://html.templines.com/shoptime-html/bath/js/jquery.icheck.js	F:/wamp/wed3/html.templines.com/shoptime-html/bath/js/jquery.icheck.js	(from http://html.templines.com/shoptime-html/bath/)
21:55:24	27822/27822	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225554a347-6cae%22	http://html.templines.com/shoptime-html/bath/js/bootstrap.min.js	F:/wamp/wed3/html.templines.com/shoptime-html/bath/js/bootstrap.min.js	(from http://html.templines.com/shoptime-html/bath/)
21:55:25	8045/8045	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225554a348-1f6d%22	http://html.templines.com/shoptime-html/bath/js/package.min.js	F:/wamp/wed3/html.templines.com/shoptime-html/bath/js/package.min.js	(from http://html.templines.com/shoptime-html/bath/)
21:55:26	19359/19359	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225554a436-4b9f%22	http://html.templines.com/shoptime-html/bath/js/bxslider/jquery.bxslider.min.js	F:/wamp/wed3/html.templines.com/shoptime-html/bath/js/bxslider/jquery.bxslider.min.js	(from http://html.templines.com/shoptime-html/bath/)
21:55:26	22489/22489	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225554a348-57d9%22	http://html.templines.com/shoptime-html/bath/js/jquery.flexslider.js	F:/wamp/wed3/html.templines.com/shoptime-html/bath/js/jquery.flexslider.js	(from http://html.templines.com/shoptime-html/bath/)
21:55:26	12420/12420	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225554a348-3084%22	http://html.templines.com/shoptime-html/bath/js/scripts.js	F:/wamp/wed3/html.templines.com/shoptime-html/bath/js/scripts.js	(from http://html.templines.com/shoptime-html/bath/)
