date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:11:36	37443/37443	---MCZ	200	added ('OK')	text/html	etag:W/%22394e993-9243-5160ab59cf600%22	http://html.templines.com/shoptime-html/child/product.html	F:/wamp/wed1/html.templines.com/shoptime-html/child/product.html	(from )
21:11:37	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Feb%202017%2013:11:36%20GMT	http://html.templines.com/robots.txt		(from )
21:11:39	895/895	---M--	200	added ('OK')	text/css	etag:%225554a34c-37f%22	http://html.templines.com/shoptime-html/child/css/master.css	F:/wamp/wed1/html.templines.com/shoptime-html/child/css/master.css	(from http://html.templines.com/shoptime-html/child/product.html)
21:11:39	1947/1947	---MCZ	200	added ('OK')	text/css	etag:W/%225554a34b-79b%22	http://html.templines.com/shoptime-html/child/css/color10.css	F:/wamp/wed1/html.templines.com/shoptime-html/child/css/color10.css	(from http://html.templines.com/shoptime-html/child/product.html)
21:11:39	31799/31799	---MCZ	200	added ('OK')	text/html	etag:W/%22394e992-7c37-5160ab58db3c0%22	http://html.templines.com/shoptime-html/child/index.html	F:/wamp/wed1/html.templines.com/shoptime-html/child/index.html	(from http://html.templines.com/shoptime-html/child/product.html)
21:11:40	2925/2925	---M--	200	added ('OK')	image/png	etag:%225554a350-b6d%22	http://html.templines.com/shoptime-html/child/images/logo.png	F:/wamp/wed1/html.templines.com/shoptime-html/child/images/logo.png	(from http://html.templines.com/shoptime-html/child/product.html)
21:11:40	35597/35597	---MCZ	200	added ('OK')	text/html	etag:W/%22394e990-8b0d-5160ab58db3c0%22	http://html.templines.com/shoptime-html/child/catalog.html	F:/wamp/wed1/html.templines.com/shoptime-html/child/catalog.html	(from http://html.templines.com/shoptime-html/child/product.html)
21:11:40	28417/28417	---MCZ	200	added ('OK')	text/html	etag:W/%22394e98f-6f01-5160ab58db3c0%22	http://html.templines.com/shoptime-html/child/cart.html	F:/wamp/wed1/html.templines.com/shoptime-html/child/cart.html	(from http://html.templines.com/shoptime-html/child/product.html)
21:11:41	19694/19694	---MCZ	200	added ('OK')	text/html	etag:W/%22394e991-4cee-5160ab58db3c0%22	http://html.templines.com/shoptime-html/child/contact.html	F:/wamp/wed1/html.templines.com/shoptime-html/child/contact.html	(from http://html.templines.com/shoptime-html/child/product.html)
21:11:41	28035/28035	---MCZ	200	added ('OK')	text/html	etag:W/%22394e98d-6d83-5160ab58db3c0%22	http://html.templines.com/shoptime-html/child/blog.html	F:/wamp/wed1/html.templines.com/shoptime-html/child/blog.html	(from http://html.templines.com/shoptime-html/child/product.html)
21:11:41	28494/28494	---MCZ	200	added ('OK')	text/html	etag:W/%22394e98e-6f4e-5160ab58db3c0%22	http://html.templines.com/shoptime-html/child/blog_single_post.html	F:/wamp/wed1/html.templines.com/shoptime-html/child/blog_single_post.html	(from http://html.templines.com/shoptime-html/child/product.html)
